"","node","betweenness"
"1",1,0
"2",2,6452
"3",3,0
"4",4,3076
"5",5,226
"6",6,0
"7",7,0
"8",8,0
"9",9,0
"10",10,0
"11",11,0
"12",12,5182
"13",13,0
"14",14,0
"15",15,0
"16",16,0
"17",17,0
"18",18,0
"19",19,0
"20",20,206
"21",21,0
"22",22,1875
"23",23,151
"24",24,0
"25",25,0
"26",26,0
"27",27,0
"28",28,0
"29",29,0
"30",30,0
"31",31,0
"32",32,0
"33",33,0
"34",34,64
"35",35,7
"36",36,0
"37",37,0
"38",38,0
"39",39,1521
"40",40,0
"41",41,0
"42",42,0
"43",43,971
"44",44,0
"45",45,376
"46",46,0
"47",47,35955
"48",48,0
"49",49,0
"50",50,0
"51",51,9004.08333333333
"52",52,637
"53",53,0
"54",54,0
"55",55,0
"56",56,0
"57",57,0
"58",58,0
"59",59,0
"60",60,0
"61",61,31891
"62",62,225
"63",63,41
"64",64,0
"65",65,933
"66",66,702
"67",67,155
"68",68,0
"69",69,0
"70",70,522
"71",71,0
"72",72,0
"73",73,0
"74",74,0
"75",75,0
"76",76,0
"77",77,0
"78",78,76
"79",79,0
"80",80,1036
"81",81,0
"82",82,0
"83",83,0
"84",84,540
"85",85,0
"86",86,0
"87",87,509
"88",88,0
"89",89,0
"90",90,0
"91",91,0
"92",92,0
"93",93,0
"94",94,0
"95",95,0
"96",96,0
"97",97,0
"98",98,0
"99",99,0
"100",100,0
"101",101,2653
"102",102,0
"103",103,0
"104",104,0
"105",105,0
"106",106,2513
"107",107,0
"108",108,0
"109",109,0
"110",110,7525
"111",111,0
"112",112,0
"113",113,0
"114",114,7956
"115",115,0
"116",116,151
"117",117,0
"118",118,4724
"119",119,0
"120",120,0
"121",121,0
"122",122,0
"123",123,0
"124",124,468
"125",125,0
"126",126,0
"127",127,0
"128",128,0
"129",129,0
"130",130,0
"131",131,0
"132",132,0
"133",133,0
"134",134,0
"135",135,2
"136",136,0
"137",137,0
"138",138,0
"139",139,0
"140",140,0
"141",141,0
"142",142,307
"143",143,0
"144",144,0
"145",145,0
"146",146,3233
"147",147,0
"148",148,0
"149",149,0
"150",150,0
"151",151,0
"152",152,0
"153",153,3
"154",154,154
"155",155,32
"156",156,0
"157",157,0
"158",158,28
"159",159,0
"160",160,0
"161",161,357
"162",162,0
"163",163,0
"164",164,0
"165",165,0
"166",166,0
"167",167,0
"168",168,13994
"169",169,34408
"170",170,0
"171",171,402
"172",172,0
"173",173,0
"174",174,522
"175",175,0
"176",176,0
"177",177,0
"178",178,0
"179",179,225
"180",180,24950
"181",181,0
"182",182,0
"183",183,0
"184",184,0
"185",185,0
"186",186,0
"187",187,0
"188",188,0
"189",189,163
"190",190,0
"191",191,472
"192",192,19917.5333333333
"193",193,0
"194",194,0
"195",195,0
"196",196,0
"197",197,0
"198",198,0
"199",199,0
"200",200,0
"201",201,0
"202",202,0
"203",203,0
"204",204,0
"205",205,0
"206",206,1257
"207",207,0
"208",208,0
"209",209,7992
"210",210,504
"211",211,1827
"212",212,1241
"213",213,0
"214",214,0
"215",215,11341.5333333333
"216",216,0
"217",217,0
"218",218,0
"219",219,0
"220",220,1769
"221",221,0
"222",222,0
"223",223,66
"224",224,0
"225",225,893
"226",226,0
"227",227,65
"228",228,0
"229",229,0
"230",230,0
"231",231,0
"232",232,0
"233",233,2712
"234",234,0
"235",235,0
"236",236,0
"237",237,382
"238",238,141
"239",239,0
"240",240,0
"241",241,0
"242",242,0
"243",243,0
"244",244,0
"245",245,0
"246",246,0
"247",247,0
"248",248,0
"249",249,332
"250",250,0
"251",251,0
"252",252,0
"253",253,0
"254",254,138
"255",255,0
"256",256,0
"257",257,0
"258",258,0
"259",259,2063.5
"260",260,0
"261",261,0
"262",262,0
"263",263,0
"264",264,26190
"265",265,0
"266",266,151
"267",267,0
"268",268,0
"269",269,0
"270",270,0
"271",271,0
"272",272,0
"273",273,0
"274",274,3733.75
"275",275,0
"276",276,1915
"277",277,12
"278",278,1097
"279",279,1590
"280",280,0
"281",281,0
"282",282,3
"283",283,0
"284",284,33880
"285",285,22691
"286",286,0
"287",287,0
"288",288,0
"289",289,0
"290",290,0
"291",291,1204
"292",292,0
"293",293,0
"294",294,0
"295",295,2636
"296",296,65
"297",297,925
"298",298,0
"299",299,0
"300",300,1726
"301",301,0
"302",302,0
"303",303,25
"304",304,0
"305",305,0
"306",306,0
"307",307,0
"308",308,0
"309",309,0
"310",310,0
"311",311,0
"312",312,2482
"313",313,0
"314",314,7591
"315",315,6302
"316",316,0
"317",317,0
"318",318,1940
"319",319,0
"320",320,0
"321",321,0
"322",322,659
"323",323,125
"324",324,151
"325",325,0
"326",326,0
"327",327,0
"328",328,0
"329",329,0
"330",330,476
"331",331,10
"332",332,0
"333",333,0
"334",334,0
"335",335,6
"336",336,0
"337",337,0
"338",338,0
"339",339,0
"340",340,0
"341",341,0
"342",342,0
"343",343,0
"344",344,0
"345",345,0
"346",346,180
"347",347,0
"348",348,223
"349",349,7845
"350",350,0
"351",351,0
"352",352,0
"353",353,108
"354",354,0
"355",355,0
"356",356,0
"357",357,0
"358",358,0
"359",359,0
"360",360,0
"361",361,0
"362",362,0
"363",363,0
"364",364,0
"365",365,0
"366",366,0
"367",367,1001
"368",368,0
"369",369,0
"370",370,0
"371",371,0
"372",372,0
"373",373,0
"374",374,0
"375",375,0
"376",376,0
"377",377,0
"378",378,65
"379",379,0
"380",380,0
"381",381,0
"382",382,0
"383",383,0
"384",384,0
"385",385,0
"386",386,0
"387",387,773
"388",388,0
"389",389,0
"390",390,357
"391",391,0
"392",392,808
"393",393,0
"394",394,0
"395",395,128
"396",396,0
"397",397,0
"398",398,0
"399",399,0
"400",400,0
"401",401,65
"402",402,0
"403",403,0
"404",404,0
"405",405,0
"406",406,0
"407",407,0
"408",408,0
"409",409,0
"410",410,0
"411",411,0
"412",412,0
"413",413,0
"414",414,0
"415",415,0
"416",416,0
"417",417,637
"418",418,584
"419",419,804
"420",420,0
"421",421,1381
"422",422,0
"423",423,0
"424",424,0
"425",425,0
"426",426,0
"427",427,0
"428",428,0
"429",429,0
"430",430,0
"431",431,0
"432",432,0
"433",433,0
"434",434,0
"435",435,0
"436",436,0
"437",437,0
"438",438,449
"439",439,0
"440",440,0
"441",441,0
"442",442,0
"443",443,0
"444",444,0
"445",445,0
"446",446,0
"447",447,48
"448",448,0
"449",449,0
"450",450,0
"451",451,0
"452",452,0
"453",453,0
"454",454,0
"455",455,0
"456",456,589
"457",457,2228
"458",458,0
"459",459,0
"460",460,0
"461",461,0
"462",462,147
"463",463,0
"464",464,497
"465",465,0
"466",466,0
"467",467,0
"468",468,0
"469",469,0
"470",470,0
"471",471,0
"472",472,0
"473",473,0
"474",474,1881
"475",475,2775
"476",476,0
"477",477,6461
"478",478,0
"479",479,4
"480",480,344
"481",481,0
"482",482,517
"483",483,5138.86666666667
"484",484,0
"485",485,0
"486",486,0
"487",487,0
"488",488,0
"489",489,0
"490",490,0
"491",491,0
"492",492,0
"493",493,0
"494",494,0
"495",495,0
"496",496,0
"497",497,884
"498",498,0
"499",499,0
"500",500,0
"501",501,0
"502",502,0
"503",503,0
"504",504,0
"505",505,0
"506",506,0
"507",507,0
"508",508,0
"509",509,0
"510",510,0
"511",511,0
"512",512,0
"513",513,892
"514",514,188
"515",515,0
"516",516,0
"517",517,0
"518",518,0
"519",519,0
"520",520,0
"521",521,0
"522",522,20906
"523",523,0
"524",524,0
"525",525,135
"526",526,0
"527",527,697
"528",528,3274.28333333333
"529",529,0
"530",530,89
"531",531,6
"532",532,281
"533",533,0
"534",534,0
"535",535,0
"536",536,0
"537",537,37
"538",538,0
"539",539,0
"540",540,0
"541",541,0
"542",542,0
"543",543,0
"544",544,0
"545",545,0
"546",546,0
"547",547,0
"548",548,506
"549",549,1034
"550",550,433
"551",551,0
"552",552,522
"553",553,0
"554",554,0
"555",555,298
"556",556,934
"557",557,0
"558",558,1616
"559",559,7374
"560",560,6815.5
"561",561,0
"562",562,0
"563",563,0
"564",564,0
"565",565,0
"566",566,0
"567",567,0
"568",568,522
"569",569,0
"570",570,184
"571",571,0
"572",572,0
"573",573,0
"574",574,0
"575",575,0
"576",576,8725
"577",577,0
"578",578,0
"579",579,553
"580",580,0
"581",581,0
"582",582,0
"583",583,1
"584",584,0
"585",585,0
"586",586,0
"587",587,0
"588",588,0
"589",589,0
"590",590,0
"591",591,0
"592",592,0
"593",593,0
"594",594,1412
"595",595,550
"596",596,0
"597",597,1563
"598",598,0
"599",599,0
"600",600,0
"601",601,297
"602",602,0
"603",603,0
"604",604,0
"605",605,0
"606",606,487
"607",607,0
"608",608,0
"609",609,0
"610",610,0
"611",611,0
"612",612,0
"613",613,229
"614",614,0
"615",615,0
"616",616,33798
"617",617,0
"618",618,573
"619",619,0
"620",620,0
"621",621,0
"622",622,0
"623",623,0
"624",624,0
"625",625,0
"626",626,0
"627",627,0
"628",628,0
"629",629,0
"630",630,0
"631",631,0
"632",632,0
"633",633,0
"634",634,48
"635",635,0
"636",636,0
"637",637,0
"638",638,0
"639",639,0
"640",640,0
"641",641,0
"642",642,0
"643",643,878
"644",644,563
"645",645,0
"646",646,0
"647",647,1
"648",648,0
"649",649,0
"650",650,0
"651",651,0
"652",652,64
"653",653,0
"654",654,0
"655",655,0
"656",656,0
"657",657,4226
"658",658,0
"659",659,0
"660",660,3577
"661",661,0
"662",662,0
"663",663,0
"664",664,0
"665",665,0
"666",666,0
"667",667,0
"668",668,0
"669",669,0
"670",670,0
"671",671,0
"672",672,0
"673",673,0
"674",674,0
"675",675,121
"676",676,0
"677",677,0
"678",678,0
"679",679,647
"680",680,292
"681",681,0
"682",682,0
"683",683,0
"684",684,0
"685",685,0
"686",686,0
"687",687,0
"688",688,1040
"689",689,0
"690",690,0
"691",691,0
"692",692,0
"693",693,0
"694",694,0
"695",695,0
"696",696,0
"697",697,0
"698",698,0
"699",699,3813
"700",700,0
"701",701,0
"702",702,35281
"703",703,0
"704",704,225
"705",705,0
"706",706,0
"707",707,0
"708",708,0
"709",709,533
"710",710,0
"711",711,4400
"712",712,0
"713",713,0
"714",714,152
"715",715,0
"716",716,0
"717",717,0
"718",718,0
"719",719,0
"720",720,0
"721",721,42
"722",722,0
"723",723,0
"724",724,0
"725",725,0
"726",726,0
"727",727,0
"728",728,0
"729",729,0
"730",730,0
"731",731,214
"732",732,0
"733",733,883
"734",734,293
"735",735,0
"736",736,3465
"737",737,455
"738",738,0
"739",739,0
"740",740,0
"741",741,0
"742",742,824
"743",743,0
"744",744,2279
"745",745,0
"746",746,0
"747",747,8202
"748",748,3482
"749",749,0
"750",750,325
"751",751,0
"752",752,1891
"753",753,0
"754",754,13346
"755",755,76
"756",756,1204
"757",757,0
"758",758,0
"759",759,0
"760",760,0
"761",761,0
"762",762,0
"763",763,0
"764",764,0
"765",765,0
"766",766,0
"767",767,361
"768",768,0
"769",769,0
"770",770,0
"771",771,0
"772",772,931
"773",773,2205
"774",774,960
"775",775,0
"776",776,5101
"777",777,0
"778",778,0
"779",779,1162
"780",780,0
"781",781,0
"782",782,0
"783",783,1608
"784",784,0
"785",785,0
"786",786,0
"787",787,5833
"788",788,0
"789",789,0
"790",790,0
"791",791,667
"792",792,0
"793",793,0
"794",794,2
"795",795,0
"796",796,0
"797",797,0
"798",798,0
"799",799,0
"800",800,14866
"801",801,0
"802",802,0
"803",803,0
"804",804,0
"805",805,0
"806",806,480
"807",807,0
"808",808,0
"809",809,253
"810",810,0
"811",811,0
"812",812,0
"813",813,0
"814",814,0
"815",815,65
"816",816,0
"817",817,0
"818",818,7002.95
"819",819,0
"820",820,0
"821",821,0
"822",822,0
"823",823,870
"824",824,0
"825",825,1007
"826",826,0
"827",827,0
